machine_type,task_type,time_of_day,weather_condition,month,day_of_week,context_risk_score,hazard_type,severity_score
Loader,General Construction,Unknown,Clear/Unknown,3,Friday,58.9,Caught-in,3.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,3,Friday,39.66,Struck-by,1.0
Roller,Operating,Unknown,Clear/Unknown,3,Monday,57.76,Caught-in,3.0
Crane,General Construction,Unknown,Wind,3,Monday,100.0,Caught-in,4.0
Truck,General Construction,Unknown,Clear/Unknown,4,Wednesday,47.19,Caught-in,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,4,Wednesday,50.92,Fall,1.0
Roller,Operating,Unknown,Clear/Unknown,4,Friday,39.65,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,4,Tuesday,69.19,Caught-in,3.0
Truck,General Construction,Unknown,Clear/Unknown,4,Tuesday,69.19,Caught-in,3.0
Forklift,General Construction,Unknown,Clear/Unknown,4,Wednesday,60.57,Caught-in,3.0
Crane,Setup/Positioning,Unknown,Clear/Unknown,4,Thursday,42.0,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,4,Sunday,67.36,Struck-by,3.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,4,Tuesday,50.92,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,4,Tuesday,43.86,Fall,1.0
Crane,General Construction,Unknown,Clear/Unknown,4,Tuesday,43.16,Electrocution,1.0
Forklift,General Construction,Unknown,Clear/Unknown,4,Wednesday,46.43,Struck-by,1.0
Truck,Maintenance,Unknown,Clear/Unknown,4,Thursday,49.6,Run-over,1.0
Forklift,Maintenance,Unknown,Clear/Unknown,4,Thursday,40.8,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,4,Thursday,45.36,Struck-by,1.0
Roller,General Construction,Unknown,Clear/Unknown,4,Thursday,33.87,Fall,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,4,Friday,75.96,Caught-in,4.0
Crane,General Construction,Unknown,Clear/Unknown,4,Sunday,43.16,Electrocution,1.0
Crane,General Construction,Unknown,Clear/Unknown,4,Monday,45.57,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,4,Monday,69.52,Struck-by,3.0
Truck,General Construction,Unknown,Clear/Unknown,4,Monday,48.58,Tip-over,1.0
Excavator,General Construction,Unknown,Clear/Unknown,4,Tuesday,78.36,Struck-by,4.0
Forklift,Operating,Unknown,Clear/Unknown,4,Wednesday,41.8,Struck-by,1.0
Backhoe,General Construction,Unknown,Clear/Unknown,4,Wednesday,39.83,Struck-by,1.0
Excavator,Loading/Unloading,Unknown,Clear/Unknown,4,Wednesday,34.84,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,4,Thursday,55.45,Struck-by,1.0
Crane,General Construction,Unknown,Clear/Unknown,4,Friday,45.57,Struck-by,1.0
Truck,Operating,Unknown,Clear/Unknown,4,Friday,48.3,Struck-by,1.0
Dump Truck,Loading/Unloading,Unknown,Clear/Unknown,4,Tuesday,39.34,Struck-by,1.0
Dump Truck,General Construction,Unknown,Clear/Unknown,4,Tuesday,41.27,Tip-over,1.0
Truck,General Construction,Unknown,Clear/Unknown,4,Tuesday,55.45,Struck-by,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,4,Tuesday,37.54,Fall,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,4,Thursday,37.54,Fall,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,5,Friday,30.88,Other,1.0
Backhoe,Loading/Unloading,Unknown,Clear/Unknown,5,Friday,38.96,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,5,Monday,46.43,Struck-by,1.0
Crane,General Construction,Unknown,Clear/Unknown,5,Wednesday,62.14,Caught-in,3.0
Truck,General Construction,Unknown,Clear/Unknown,5,Wednesday,43.86,Fall,1.0
Bulldozer,General Construction,Unknown,Clear/Unknown,5,Friday,31.54,Fall,1.0
Backhoe,Excavation,Unknown,Clear/Unknown,5,Friday,38.8,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,5,Monday,50.92,Fall,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,5,Monday,38.65,Fall,1.0
Forklift,General Construction,Unknown,Clear/Unknown,5,Monday,46.43,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,5,Wednesday,50.92,Fall,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,5,Thursday,43.83,Struck-by,1.0
Crane,General Construction,Unknown,Clear/Unknown,5,Friday,45.57,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,5,Friday,55.45,Struck-by,1.0
Concrete Mixer,General Construction,Unknown,Clear/Unknown,5,Friday,37.64,Caught-in,1.0
Truck,Maintenance,Unknown,Clear/Unknown,5,Saturday,40.81,Burns,1.0
Crane,Operating,Unknown,Muddy,5,Tuesday,84.33,Fall,3.0
Truck,General Construction,Unknown,Clear/Unknown,5,Wednesday,49.94,Run-over,1.0
Truck,General Construction,Unknown,Clear/Unknown,5,Friday,77.45,Struck-by,3.0
Truck,General Construction,Unknown,Clear/Unknown,5,Saturday,55.45,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,5,Tuesday,45.36,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,5,Wednesday,34.04,Fall,1.0
Crane,General Construction,Unknown,Clear/Unknown,5,Wednesday,43.16,Electrocution,1.0
Forklift,General Construction,Unknown,Clear/Unknown,5,Wednesday,46.43,Struck-by,1.0
Crane,Maintenance,Unknown,Clear/Unknown,5,Thursday,37.84,Caught-in,1.0
Forklift,Operating,Unknown,Clear/Unknown,5,Friday,37.05,Caught-in,1.0
Truck,General Construction,Unknown,Clear/Unknown,5,Friday,31.88,Other,1.0
Truck,General Construction,Unknown,Clear/Unknown,5,Friday,47.19,Caught-in,1.0
Forklift,General Construction,Unknown,Clear/Unknown,6,Monday,60.57,Caught-in,3.0
Loader,General Construction,Unknown,Muddy,6,Tuesday,53.67,Caught-in,1.0
Forklift,General Construction,Unknown,Clear/Unknown,6,Tuesday,46.43,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,6,Tuesday,55.45,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,6,Wednesday,43.86,Fall,1.0
Paver,Loading/Unloading,Unknown,Clear/Unknown,6,Wednesday,38.13,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,6,Thursday,45.36,Struck-by,1.0
Aerial Lift,Operating,Unknown,Clear/Unknown,6,Thursday,39.7,Electrocution,1.0
Truck,General Construction,Unknown,Clear/Unknown,6,Thursday,64.88,Other,4.0
Truck,General Construction,Unknown,Clear/Unknown,6,Friday,47.19,Caught-in,1.0
Truck,General Construction,Unknown,Clear/Unknown,6,Friday,80.19,Caught-in,4.0
Truck,General Construction,Unknown,Clear/Unknown,6,Monday,48.58,Tip-over,1.0
Forklift,General Construction,Unknown,Clear/Unknown,6,Tuesday,60.57,Caught-in,3.0
Excavator,General Construction,Unknown,Clear/Unknown,6,Wednesday,45.36,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,6,Wednesday,58.9,Caught-in,3.0
Roller,General Construction,Unknown,Clear/Unknown,6,Wednesday,33.87,Fall,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,6,Thursday,38.65,Fall,1.0
Excavator,General Construction,Unknown,Clear/Unknown,6,Monday,45.36,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,6,Monday,36.9,Caught-in,1.0
Truck,General Construction,Unknown,Clear/Unknown,6,Tuesday,69.19,Caught-in,3.0
Roller,General Construction,Unknown,Clear/Unknown,6,Thursday,36.79,Caught-in,1.0
Loader,Operating,Unknown,Clear/Unknown,6,Thursday,24.17,Other,1.0
Backhoe,General Construction,Unknown,Clear/Unknown,6,Friday,57.04,Caught-in,3.0
Dump Truck,Operating,Unknown,Clear/Unknown,6,Tuesday,39.38,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,6,Tuesday,55.45,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,6,Thursday,55.45,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,6,Friday,45.36,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,6,Monday,31.88,Other,1.0
Truck,General Construction,Unknown,Clear/Unknown,6,Monday,55.45,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,6,Monday,55.45,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,6,Monday,50.92,Fall,1.0
Excavator,General Construction,Unknown,Clear/Unknown,7,Thursday,45.36,Struck-by,1.0
Loader,Maintenance,Unknown,Clear/Unknown,7,Monday,24.14,Other,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,7,Monday,50.92,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,7,Monday,48.99,Electrocution,1.0
Forklift,Maintenance,Unknown,Clear/Unknown,7,Tuesday,35.0,Fall,1.0
Excavator,General Construction,Unknown,Clear/Unknown,7,Tuesday,45.36,Struck-by,1.0
Crane,General Construction,Unknown,Clear/Unknown,7,Tuesday,45.57,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,7,Tuesday,55.45,Struck-by,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,7,Thursday,75.67,Struck-by,4.0
Backhoe,Maintenance,Unknown,Clear/Unknown,7,Thursday,38.61,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,7,Thursday,45.36,Struck-by,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,7,Thursday,40.79,Electrocution,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,7,Thursday,50.92,Fall,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,7,Thursday,38.65,Fall,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,7,Friday,50.92,Fall,1.0
Dump Truck,General Construction,Unknown,Wet Surface,7,Friday,55.14,Electrocution,1.0
Loader,General Construction,Unknown,Clear/Unknown,7,Saturday,43.45,Struck-by,1.0
Crane,Setup/Positioning,Unknown,Clear/Unknown,7,Tuesday,50.09,Contact-with,3.0
Truck,General Construction,Unknown,Clear/Unknown,7,Tuesday,31.88,Other,1.0
Truck,Operating,Afternoon,Clear/Unknown,7,Tuesday,48.3,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,7,Wednesday,50.92,Fall,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,7,Friday,37.54,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,7,Saturday,31.88,Other,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,7,Saturday,50.92,Fall,1.0
Truck,Maintenance,Unknown,Clear/Unknown,7,Saturday,40.13,Fall,1.0
Truck,Idling/Parked,Unknown,Clear/Unknown,7,Monday,45.78,Struck-by,1.0
Roller,Mounting/Dismounting,Unknown,Clear/Unknown,7,Monday,43.4,Run-over,1.0
Truck,Operating,Unknown,Clear/Unknown,7,Monday,48.3,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,7,Monday,44.11,Collision,1.0
Truck,General Construction,Unknown,Clear/Unknown,7,Monday,55.45,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,7,Monday,34.68,Fall,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,7,Tuesday,43.83,Struck-by,1.0
Excavator,Excavation,Unknown,Clear/Unknown,7,Wednesday,41.05,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,7,Thursday,55.45,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,7,Thursday,50.92,Fall,1.0
Forklift,Operating,Unknown,Clear/Unknown,7,Friday,41.8,Struck-by,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,7,Friday,39.66,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,7,Saturday,80.19,Caught-in,4.0
Truck,General Construction,Unknown,Clear/Unknown,7,Saturday,66.11,Collision,3.0
Forklift,General Construction,Unknown,Clear/Unknown,7,Tuesday,46.43,Struck-by,1.0
Backhoe,General Construction,Unknown,Clear/Unknown,7,Tuesday,50.83,Struck-by,2.0
Truck,Operating,Unknown,Clear/Unknown,7,Wednesday,59.3,Struck-by,2.0
Bulldozer,General Construction,Unknown,Clear/Unknown,7,Wednesday,25.71,Pinch-Point,1.0
Crane,General Construction,Unknown,Heat,7,Thursday,35.98,Other,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,8,Monday,43.83,Struck-by,1.0
Roller,General Construction,Unknown,Clear/Unknown,8,Tuesday,69.79,Caught-in,4.0
Crane,General Construction,Unknown,Clear/Unknown,8,Wednesday,62.14,Caught-in,3.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,8,Wednesday,38.65,Fall,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,8,Thursday,37.54,Fall,1.0
Forklift,General Construction,Unknown,Clear/Unknown,8,Friday,57.43,Struck-by,2.0
Excavator,General Construction,Unknown,Clear/Unknown,8,Saturday,45.36,Struck-by,1.0
Aerial Lift,Loading/Unloading,Unknown,Clear/Unknown,8,Saturday,34.2,Fall,1.0
Backhoe,Operating,Unknown,Clear/Unknown,8,Sunday,34.79,Caught-in,1.0
Loader,Operating,Unknown,Clear/Unknown,8,Monday,46.17,Other,3.0
Forklift,General Construction,Unknown,Clear/Unknown,8,Tuesday,25.71,Other,1.0
Truck,General Construction,Unknown,Clear/Unknown,8,Tuesday,47.19,Caught-in,1.0
Truck,General Construction,Unknown,Clear/Unknown,8,Tuesday,55.45,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,8,Wednesday,50.92,Fall,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,8,Wednesday,40.79,Electrocution,1.0
Loader,General Construction,Unknown,Clear/Unknown,8,Wednesday,65.45,Struck-by,3.0
Truck,General Construction,Unknown,Clear/Unknown,8,Thursday,43.86,Fall,1.0
Bulldozer,Loading/Unloading,Unknown,Clear/Unknown,8,Thursday,39.15,Tip-over,1.0
Excavator,General Construction,Unknown,Clear/Unknown,8,Friday,67.36,Struck-by,3.0
Forklift,General Construction,Unknown,Clear/Unknown,8,Saturday,43.16,Tip-over,1.0
Forklift,General Construction,Unknown,Clear/Unknown,8,Saturday,46.43,Struck-by,1.0
Roller,General Construction,Unknown,Clear/Unknown,8,Monday,40.17,Struck-by,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,8,Monday,39.66,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,8,Monday,50.92,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,8,Monday,34.82,Pinch-Point,1.0
Forklift,General Construction,Unknown,Clear/Unknown,8,Monday,46.43,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,8,Tuesday,31.88,Other,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,8,Tuesday,59.36,Caught-in,3.0
Loader,General Construction,Unknown,Clear/Unknown,8,Wednesday,43.45,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,8,Wednesday,38.57,Caught-in,1.0
Excavator,General Construction,Unknown,Clear/Unknown,8,Thursday,43.81,Run-over,1.0
Backhoe,General Construction,Unknown,Clear/Unknown,8,Friday,23.34,Other,1.0
Backhoe,Excavation,Unknown,Clear/Unknown,8,Monday,38.8,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,8,Monday,55.45,Struck-by,1.0
Backhoe,General Construction,Unknown,Clear/Unknown,8,Tuesday,39.83,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,8,Tuesday,55.45,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,8,Wednesday,36.9,Caught-in,1.0
Truck,Operating,Unknown,Clear/Unknown,8,Wednesday,40.63,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,8,Wednesday,55.45,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,8,Thursday,80.19,Caught-in,4.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,8,Thursday,60.77,Caught-in,3.0
Loader,Operating,Unknown,Clear/Unknown,8,Thursday,35.78,Caught-in,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,8,Friday,47.52,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,8,Saturday,55.45,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,8,Monday,41.99,Electrocution,1.0
Excavator,General Construction,Unknown,Clear/Unknown,8,Monday,78.36,Struck-by,4.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,8,Monday,50.92,Fall,1.0
Dump Truck,Loading/Unloading,Unknown,Clear/Unknown,9,Tuesday,41.08,Tip-over,1.0
Dump Truck,General Construction,Unknown,Clear/Unknown,9,Wednesday,40.34,Struck-by,1.0
Excavator,General Construction,Unknown,Heat,9,Wednesday,34.04,Other,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,9,Friday,50.92,Fall,1.0
Crane,Operating,Unknown,Clear/Unknown,9,Tuesday,74.97,Struck-by,4.0
Forklift,Maintenance,Unknown,Clear/Unknown,9,Wednesday,36.89,Caught-in,1.0
Backhoe,General Construction,Unknown,Clear/Unknown,9,Wednesday,39.83,Struck-by,1.0
Bulldozer,General Construction,Unknown,Clear/Unknown,9,Friday,37.6,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,9,Saturday,69.19,Caught-in,3.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,9,Monday,64.96,Caught-in,3.0
Excavator,Loading/Unloading,Unknown,Clear/Unknown,9,Monday,73.95,Struck-by,4.0
Excavator,General Construction,Unknown,Clear/Unknown,9,Tuesday,59.29,Caught-in,3.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,9,Tuesday,42.67,Struck-by,1.0
Roller,General Construction,Unknown,Clear/Unknown,9,Wednesday,40.17,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,9,Wednesday,30.88,Other,1.0
Grader,Loading/Unloading,Unknown,Clear/Unknown,9,Wednesday,54.99,Caught-in,3.0
Dump Truck,General Construction,Unknown,Clear/Unknown,9,Wednesday,23.91,Other,1.0
Truck,General Construction,Unknown,Clear/Unknown,9,Friday,55.45,Struck-by,1.0
Dump Truck,General Construction,Unknown,Clear/Unknown,9,Saturday,41.27,Tip-over,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,9,Sunday,39.66,Struck-by,1.0
Excavator,Loading/Unloading,Unknown,Clear/Unknown,9,Monday,40.95,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,9,Tuesday,46.43,Struck-by,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,9,Tuesday,25.07,Contact-with,1.0
Forklift,General Construction,Unknown,Clear/Unknown,9,Tuesday,46.43,Struck-by,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,9,Wednesday,38.65,Fall,1.0
Backhoe,General Construction,Unknown,Clear/Unknown,9,Wednesday,39.77,Electrocution,1.0
Excavator,Loading/Unloading,Unknown,Clear/Unknown,9,Wednesday,34.84,Fall,1.0
Forklift,General Construction,Unknown,Clear/Unknown,9,Thursday,46.43,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,9,Friday,70.29,Caught-in,4.0
Truck,Operating,Unknown,Clear/Unknown,9,Monday,48.3,Struck-by,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,9,Monday,59.36,Caught-in,3.0
Crane,Loading/Unloading,Morning,Clear/Unknown,9,Monday,39.85,Struck-by,1.0
Aerial Lift,Idling/Parked,Unknown,Clear/Unknown,9,Monday,39.58,Electrocution,1.0
